date,model,tier,ebay_avg_price_usd,data_source,lhr
2022-04-01,RTX 3060,XX60,485.0,Tom's Hardware / PCMag / 3D Center,0
2022-04-01,RTX 3060 Ti,XX60,658.0,Tom's Hardware / PCMag / 3D Center,0
2022-04-01,RTX 3060 Ti LHR,XX60,550.0,TechSpot / Tom's Hardware — range $450-$650 (midpoint used),1
2022-04-01,RTX 3070,XX70,773.0,Tom's Hardware / PCMag / 3D Center,0
2022-04-01,RTX 3070 LHR,XX70,650.0,TechSpot / Tom's Hardware — range $500-$800 (midpoint used),1
2022-04-01,RTX 3070 Ti,XX70,772.0,Tom's Hardware / PCMag / 3D Center,0
2022-04-01,RTX 3080,XX80,1129.0,Tom's Hardware / PCMag / 3D Center,0
2022-04-01,RTX 3080 LHR,XX80,850.0,TechSpot / Tom's Hardware — range $700-$1000 (midpoint used),1
2022-04-01,RTX 3080 Ti,XX80,1168.0,Tom's Hardware / PCMag / 3D Center,0
2022-04-01,RTX 3090,XX90,1837.0,Tom's Hardware / PCMag / 3D Center,0
2022-05-01,RTX 3060,XX60,420.0,Tom's Hardware / PCMag / 3D Center,0
2022-05-01,RTX 3060 Ti,XX60,550.0,Tom's Hardware / PCMag / 3D Center,0
2022-05-01,RTX 3060 Ti LHR,XX60,490.0,TechSpot / Tom's Hardware — range $400-$580 (midpoint used),1
2022-05-01,RTX 3070,XX70,650.0,Tom's Hardware / PCMag / 3D Center,0
2022-05-01,RTX 3070 LHR,XX70,590.0,TechSpot / Tom's Hardware — range $480-$700 (midpoint used),1
2022-05-01,RTX 3070 Ti,XX70,680.0,Tom's Hardware / PCMag / 3D Center,0
2022-05-01,RTX 3080,XX80,950.0,Tom's Hardware / PCMag / 3D Center,0
2022-05-01,RTX 3080 LHR,XX80,800.0,TechSpot / Tom's Hardware — range $650-$950 (midpoint used),1
2022-05-01,RTX 3080 Ti,XX80,1050.0,Tom's Hardware / PCMag / 3D Center,0
2022-05-01,RTX 3090,XX90,1500.0,Tom's Hardware / PCMag / 3D Center,0
2022-06-01,RTX 3060,XX60,390.0,Tom's Hardware / PCMag / 3D Center,0
2022-06-01,RTX 3060 Ti,XX60,480.0,Tom's Hardware / PCMag / 3D Center,0
2022-06-01,RTX 3060 Ti LHR,XX60,450.0,TechSpot / Tom's Hardware — range $350-$550 (midpoint used),1
2022-06-01,RTX 3070,XX70,550.0,Tom's Hardware / PCMag / 3D Center,0
2022-06-01,RTX 3070 LHR,XX70,550.0,TechSpot / Tom's Hardware — range $450-$650 (midpoint used),1
2022-06-01,RTX 3070 Ti,XX70,620.0,Tom's Hardware / PCMag / 3D Center,0
2022-06-01,RTX 3080,XX80,780.0,Tom's Hardware / PCMag / 3D Center,0
2022-06-01,RTX 3080 LHR,XX80,750.0,TechSpot / Tom's Hardware — range $600-$900 (midpoint used),1
2022-06-01,RTX 3080 Ti,XX80,980.0,Tom's Hardware / PCMag / 3D Center,0
2022-06-01,RTX 3090,XX90,1200.0,Tom's Hardware / PCMag / 3D Center,0
2022-07-01,RTX 3060,XX60,365.0,Tom's Hardware / PCMag / 3D Center,0
2022-07-01,RTX 3060 Ti,XX60,433.0,Tom's Hardware / PCMag / 3D Center,0
2022-07-01,RTX 3060 Ti LHR,XX60,430.0,TechSpot / Tom's Hardware — range $340-$520 (midpoint used),1
2022-07-01,RTX 3070,XX70,495.0,Tom's Hardware / PCMag / 3D Center,0
2022-07-01,RTX 3070 LHR,XX70,490.0,TechSpot / Tom's Hardware — range $400-$580 (midpoint used),1
2022-07-01,RTX 3070 Ti,XX70,587.0,Tom's Hardware / PCMag / 3D Center,0
2022-07-01,RTX 3080,XX80,707.0,Tom's Hardware / PCMag / 3D Center,0
2022-07-01,RTX 3080 LHR,XX80,675.0,TechSpot / Tom's Hardware — range $550-$800 (midpoint used),1
2022-07-01,RTX 3080 Ti,XX80,921.0,Tom's Hardware / PCMag / 3D Center,0
2022-07-01,RTX 3090,XX90,1043.0,Tom's Hardware / PCMag / 3D Center,0
2022-08-01,RTX 3060,XX60,355.0,Tom's Hardware / PCMag / 3D Center,0
2022-08-01,RTX 3060 Ti,XX60,420.0,Tom's Hardware / PCMag / 3D Center,0
2022-08-01,RTX 3060 Ti LHR,XX60,410.0,TechSpot / Tom's Hardware — range $320-$500 (midpoint used),1
2022-08-01,RTX 3070,XX70,480.0,Tom's Hardware / PCMag / 3D Center,0
2022-08-01,RTX 3070 LHR,XX70,450.0,TechSpot / Tom's Hardware — range $350-$550 (midpoint used),1
2022-08-01,RTX 3070 Ti,XX70,570.0,Tom's Hardware / PCMag / 3D Center,0
2022-08-01,RTX 3080,XX80,690.0,Tom's Hardware / PCMag / 3D Center,0
2022-08-01,RTX 3080 LHR,XX80,625.0,TechSpot / Tom's Hardware — range $500-$750 (midpoint used),1
2022-08-01,RTX 3080 Ti,XX80,890.0,Tom's Hardware / PCMag / 3D Center,0
2022-08-01,RTX 3090,XX90,1000.0,Tom's Hardware / PCMag / 3D Center,0
2022-09-01,RTX 3060,XX60,348.0,Tom's Hardware / PCMag / 3D Center,0
2022-09-01,RTX 3060 Ti,XX60,410.0,Tom's Hardware / PCMag / 3D Center,0
2022-09-01,RTX 3060 Ti LHR,XX60,375.0,TechSpot / Tom's Hardware — range $300-$450 (midpoint used),1
2022-09-01,RTX 3070,XX70,470.0,Tom's Hardware / PCMag / 3D Center,0
2022-09-01,RTX 3070 LHR,XX70,420.0,TechSpot / Tom's Hardware — range $340-$500 (midpoint used),1
2022-09-01,RTX 3070 Ti,XX70,555.0,Tom's Hardware / PCMag / 3D Center,0
2022-09-01,RTX 3080,XX80,675.0,Tom's Hardware / PCMag / 3D Center,0
2022-09-01,RTX 3080 LHR,XX80,600.0,TechSpot / Tom's Hardware — range $480-$720 (midpoint used),1
2022-09-01,RTX 3080 Ti,XX80,865.0,Tom's Hardware / PCMag / 3D Center,0
2022-09-01,RTX 3090,XX90,970.0,Tom's Hardware / PCMag / 3D Center,0
